rank;name;kp_rating;imdb_rating;year;url;_utc_timestamp
29;Властелин колец: Братство кольца;8.568;8.8;2001;https://www.kinopoisk.ru/film/328/;2019-12-10 15:09:59
28;В бой идут одни «старики»;8.709;8.4;1973;https://www.kinopoisk.ru/film/25108/;2019-12-10 15:09:59
27;Пианист;8.464;8.5;2002;https://www.kinopoisk.ru/film/355/;2019-12-10 15:09:59
26;Поймай меня, если сможешь;8.513;8.1;2002;https://www.kinopoisk.ru/film/324/;2019-12-10 15:09:59
25;Отступники;8.455;8.5;2006;https://www.kinopoisk.ru/film/81314/;2019-12-10 15:09:59
24;Бриллиантовая рука;8.517;8.5;1968;https://www.kinopoisk.ru/film/46225/;2019-12-10 15:09:59
23;Матрица;8.49;8.7;1999;https://www.kinopoisk.ru/film/301/;2019-12-10 15:09:59
22;Карты, деньги, два ствола;8.546;8.2;1998;https://www.kinopoisk.ru/film/522/;2019-12-10 15:09:59
21;Назад в будущее;8.626;8.5;1985;https://www.kinopoisk.ru/film/476/;2019-12-10 15:09:59
20;Властелин колец: Возвращение Короля;8.621;8.9;2003;https://www.kinopoisk.ru/film/3498/;2019-12-10 15:09:59
19;Гладиатор;8.578;8.5;2000;https://www.kinopoisk.ru/film/474/;2019-12-10 15:09:59
18;Интерстеллар;8.589;8.6;2014;https://www.kinopoisk.ru/film/258687/;2019-12-10 15:09:59
17;Игры разума;8.555;8.2;2001;https://www.kinopoisk.ru/film/530/;2019-12-10 15:09:59
16;Престиж;8.523;8.5;2006;https://www.kinopoisk.ru/film/195334/;2019-12-10 15:09:59
15;Операция «Ы» и другие приключения Шурика;8.712;8.7;1965;https://www.kinopoisk.ru/film/42782/;2019-12-10 15:09:59
14;Криминальное чтиво;8.619;8.9;1994;https://www.kinopoisk.ru/film/342/;2019-12-10 15:09:59
13;Крестный отец;8.734;9.2;1972;https://www.kinopoisk.ru/film/325/;2019-12-10 15:09:59
12;Достучаться до небес;8.629;8.0;1997;https://www.kinopoisk.ru/film/32898/;2019-12-10 15:09:59
11;Жизнь прекрасна;8.626;8.6;1997;https://www.kinopoisk.ru/film/381/;2019-12-10 15:09:59
10;Иван Васильевич меняет профессию;8.782;8.4;1973;https://www.kinopoisk.ru/film/42664/;2019-12-10 15:09:59
9;Бойцовский клуб;8.645;8.8;1999;https://www.kinopoisk.ru/film/361/;2019-12-10 15:09:59
8;Король Лев;8.773;8.5;1994;https://www.kinopoisk.ru/film/2360/;2019-12-10 15:09:59
7;Леон;8.681;8.5;1994;https://www.kinopoisk.ru/film/389/;2019-12-10 15:09:59
6;Начало;8.663;8.8;2010;https://www.kinopoisk.ru/film/447301/;2019-12-10 15:09:59
5;1+1;8.807;8.5;2011;https://www.kinopoisk.ru/film/535341/;2019-12-10 15:09:59
4;Список Шиндлера;8.817;8.9;1993;https://www.kinopoisk.ru/film/329/;2019-12-10 15:09:59
3;Форрест Гамп;8.913;8.8;1994;https://www.kinopoisk.ru/film/448/;2019-12-10 15:09:59
2;Зеленая миля;9.061;8.6;1999;https://www.kinopoisk.ru/film/435/;2019-12-10 15:09:59
1;Побег из Шоушенка;9.112;9.3;1994;https://www.kinopoisk.ru/film/326/;2019-12-10 15:09:59
